datahora,Q
1931-08-07 07:00:00,311.50
1931-08-08 07:00:00,352.60
1931-08-09 07:00:00,407.60
1931-08-10 07:00:00,421.20
1931-08-11 07:00:00,434.40
1931-08-12 07:00:00,440.80
1931-08-13 07:00:00,414.40
1931-08-14 07:00:00,380.00
1931-08-15 07:00:00,352.60
1931-08-16 07:00:00,333.40
1931-08-17 07:00:00,308.40
1931-08-18 07:00:00,296.00
1931-08-19 07:00:00,276.80
1931-08-20 07:00:00,264.00
1931-08-21 07:00:00,251.60
1931-08-22 07:00:00,239.20
1931-08-23 07:00:00,233.00
1931-08-24 07:00:00,220.60
1931-08-25 07:00:00,214.40
1931-08-26 07:00:00,208.20
1931-08-27 07:00:00,205.10
1931-08-28 07:00:00,202.00
1931-08-29 07:00:00,208.20
1931-08-30 07:00:00,245.40
1931-08-31 07:00:00,308.40
1931-09-01 07:00:00,320.80
1931-09-02 07:00:00,320.80
1931-09-03 07:00:00,323.90
1931-09-04 07:00:00,327.00
1931-09-05 07:00:00,320.80
1931-09-06 07:00:00,314.60
1931-09-07 07:00:00,296.00
1931-09-08 07:00:00,283.20
1931-09-09 07:00:00,280.00
1931-09-10 07:00:00,376.50
1931-09-11 07:00:00,636.60
1931-09-12 07:00:00,669.00
1931-09-13 07:00:00,756.70
1931-09-14 07:00:00,969.00
1931-09-15 07:00:00,1057.00
1931-09-16 07:00:00,1075.00
1931-09-17 07:00:00,1120.00
1931-09-18 07:00:00,1234.00
1931-09-19 07:00:00,1250.00
1931-09-20 07:00:00,1259.00
1931-09-21 07:00:00,1259.00
1931-09-22 07:00:00,1268.00
1931-09-23 07:00:00,1268.00
1931-09-24 07:00:00,1277.00
1931-09-25 07:00:00,1277.00
1931-09-26 07:00:00,1286.00
1931-09-27 07:00:00,1295.00
1931-09-28 07:00:00,1300.00
1931-09-29 07:00:00,1259.00
1931-09-30 07:00:00,1194.00
1931-10-01 07:00:00,1135.00
1931-10-02 07:00:00,1075.00
1931-10-03 07:00:00,1048.00
1931-10-04 07:00:00,1014.00
1931-10-05 07:00:00,956.40
1931-10-06 07:00:00,897.80
1931-10-07 07:00:00,816.00
1931-10-08 07:00:00,768.40
1931-10-09 07:00:00,669.00
1931-10-10 07:00:00,596.00
1931-10-11 07:00:00,540.60
